,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
0,GOOG240628C00090000,2024-06-21 18:49:35+00:00,90.0,91.42,89.55,92.9,6.3499985,7.4644394,4.0,2,3.205080112304687,True,REGULAR,USD,2024-06-28
1,GOOG240628C00095000,2024-06-21 19:34:55+00:00,95.0,86.56,84.55,87.75,2.3099976,2.741837,13.0,5,2.9384792163085933,True,REGULAR,USD,2024-06-28
2,GOOG240628C00100000,2024-06-21 18:52:04+00:00,100.0,81.6,79.55,82.8,5.5,7.227333,10.0,5,2.7480500048828125,True,REGULAR,USD,2024-06-28
3,GOOG240628C00105000,2024-06-21 18:51:53+00:00,105.0,75.71,74.55,77.8,4.540001,6.379094,6.0,51,2.5517614331054688,True,REGULAR,USD,2024-06-28
4,GOOG240628C00115000,2024-06-21 19:44:50+00:00,115.0,66.71,64.55,67.9,3.2399979,5.1047707,5.0,1,2.2060591723632808,True,REGULAR,USD,2024-06-28
5,GOOG240628C00120000,2024-06-21 19:22:49+00:00,120.0,61.04,59.55,62.95,3.3400002,5.788562,2.0,52,2.041997082519531,True,REGULAR,USD,2024-06-28
6,GOOG240628C00130000,2024-06-21 16:51:07+00:00,130.0,52.08,49.6,52.95,5.450001,11.687757,151.0,196,1.7158217333984376,True,REGULAR,USD,2024-06-28
7,GOOG240628C00135000,2024-06-21 17:44:43+00:00,135.0,46.53,44.6,47.8,5.09,12.28282,3.0,5,1.526857834472656,True,REGULAR,USD,2024-06-28
8,GOOG240628C00140000,2024-06-21 18:19:53+00:00,140.0,41.97,39.6,42.85,4.59,12.279294,2.0,26,1.3798859130859373,True,REGULAR,USD,2024-06-28
9,GOOG240628C00145000,2024-06-21 19:24:05+00:00,145.0,37.07,34.6,37.95,3.7599983,11.287896,12.0,33,1.2426795678710936,True,REGULAR,USD,2024-06-28
10,GOOG240628C00150000,2024-06-21 15:25:20+00:00,150.0,31.24,29.65,33.0,3.5900002,12.983726,17.0,26,1.1049849438476564,True,REGULAR,USD,2024-06-28
11,GOOG240628C00155000,2024-06-21 19:47:42+00:00,155.0,26.52,24.65,28.0,3.8400002,16.931217,9.0,23,0.9536137451171874,True,REGULAR,USD,2024-06-28
12,GOOG240628C00157500,2024-06-21 18:03:18+00:00,157.5,24.3,22.15,25.5,3.9499989,19.410315,1.0,13,0.877930908203125,True,REGULAR,USD,2024-06-28
13,GOOG240628C00160000,2024-06-21 19:06:49+00:00,160.0,21.54,19.65,22.85,3.7700005,21.215534,8.0,59,0.7851583984375,True,REGULAR,USD,2024-06-28
14,GOOG240628C00162500,2024-06-21 18:54:25+00:00,162.5,19.03,17.15,20.5,4.130001,27.71813,2.0,28,0.726565234375,True,REGULAR,USD,2024-06-28
15,GOOG240628C00165000,2024-06-21 18:52:04+00:00,165.0,15.68,14.7,18.0,2.7800007,21.550392,41.0,185,0.6552768847656252,True,REGULAR,USD,2024-06-28
