Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,11.827000,11.827000,11.751000,11.751000,-13801912.000000,200
2015-01-05,11.781000,11.781000,11.751000,11.751000,-13801912.000000,5
2015-01-06,11.750000,11.750000,11.750000,11.750000,-13800734.000000,450
2015-01-07,11.300000,11.302000,11.300000,11.302000,-13274546.000000,50
2015-01-08,11.310000,11.310000,11.310000,11.310000,-13283942.000000,0
2015-01-09,11.609000,11.781000,11.609000,11.781000,-13837148.000000,490
2015-01-12,11.381000,11.381000,11.381000,11.381000,-13367332.000000,0
2015-01-13,11.210000,11.349000,11.210000,11.349000,-13329749.000000,620
2015-01-14,11.141000,11.141000,11.141000,11.141000,-13085447.000000,0
2015-01-15,11.300000,11.350000,10.700000,10.710000,-12579224.000000,2200
2015-01-16,10.663000,10.931000,10.663000,10.931000,-12838794.000000,30
2015-01-19,10.920000,10.995000,10.920000,10.995000,-12913964.000000,100
2015-01-20,11.000000,11.393000,11.000000,11.393000,-13381428.000000,1000
2015-01-21,11.430000,11.430000,11.430000,11.430000,-13424885.000000,0
2015-01-22,11.722000,11.937000,11.722000,11.937000,-14020371.000000,155
2015-01-23,11.986000,11.986000,11.986000,11.986000,-14077924.000000,0
2015-01-26,11.960000,12.014000,11.960000,12.014000,-14110811.000000,250
2015-01-27,12.130000,12.130000,12.130000,12.130000,-14247056.000000,0
2015-01-28,11.957000,12.201000,11.957000,12.201000,-14330449.000000,300
2015-01-29,11.819000,11.819000,11.819000,11.819000,-13881778.000000,0
2015-01-30,11.689000,11.689000,11.689000,11.689000,-13729090.000000,0
2015-02-02,11.558000,11.558000,11.558000,11.558000,-13575223.000000,0
2015-02-03,11.634000,12.190000,11.634000,12.190000,-14317528.000000,50
2015-02-04,12.218000,12.218000,12.218000,12.218000,-14350416.000000,0
2015-02-05,12.354000,12.354000,12.354000,12.354000,-14510151.000000,0
2015-02-06,13.081000,13.081000,13.081000,13.081000,-15364034.000000,200
2015-02-09,12.594000,13.550000,12.594000,13.550000,-15914890.000000,1970
2015-02-10,13.579000,13.906000,13.579000,13.747000,-16146275.000000,300
2015-02-11,14.100000,14.100000,13.846000,13.994000,-16436384.000000,410
2015-02-12,13.685000,14.405000,13.685000,14.220000,-16701825.000000,500
2015-02-13,14.563000,14.563000,14.465000,14.550000,-17089420.000000,945
2015-02-16,14.033000,14.100000,14.033000,14.100000,-16560883.000000,200
2015-02-17,13.884000,13.884000,13.884000,13.884000,-16307183.000000,0
2015-02-18,13.788000,13.788000,13.788000,13.788000,-16194429.000000,0
2015-02-19,14.000000,14.000000,14.000000,14.000000,-16443429.000000,0
2015-02-20,13.838000,13.838000,13.838000,13.838000,-16253156.000000,0
2015-02-23,13.833000,13.833000,13.833000,13.833000,-16247284.000000,0
2015-02-24,13.923000,14.250000,13.923000,14.250000,-16737061.000000,125
2015-02-25,14.207000,14.437000,14.207000,14.437000,-16956698.000000,70
2015-02-26,14.186000,14.186000,14.186000,14.186000,-16661893.000000,0
2015-02-27,14.185000,14.185000,14.185000,14.185000,-16660718.000000,0
2015-03-02,13.976000,13.976000,13.976000,13.976000,-16415241.000000,0
2015-03-03,13.783000,13.915000,13.660000,13.660000,-16044089.000000,10200
2015-03-04,13.510000,13.816000,13.510000,13.816000,-16227316.000000,10408
2015-03-05,13.510000,13.510000,13.510000,13.510000,-15867908.000000,0
2015-03-06,13.534000,13.534000,13.534000,13.534000,-15896098.000000,0
2015-03-09,14.251000,14.251000,14.251000,14.251000,-16738237.000000,30
2015-03-10,14.641000,15.153000,14.641000,15.153000,-17797662.000000,1450
2015-03-11,15.365000,15.365000,15.334000,15.334000,-18010254.000000,420
2015-03-12,15.368000,15.390000,15.368000,15.390000,-18076026.000000,1000
2015-03-13,15.254000,15.254000,15.254000,15.254000,-17916290.000000,0
2015-03-16,15.152000,15.357000,15.152000,15.357000,-18037270.000000,200
2015-03-17,15.298000,15.298000,15.298000,15.298000,-17967970.000000,0
2015-03-18,15.201000,15.201000,15.201000,15.201000,-17854040.000000,0
2015-03-19,15.104000,16.179001,15.104000,15.843000,-18608090.000000,1607
2015-03-20,16.094999,16.514000,16.094999,16.514000,-19396200.000000,660
2015-03-23,17.052999,17.052999,16.878000,16.878000,-19823728.000000,700
2015-03-24,16.594999,16.594999,16.511999,16.511999,-19393850.000000,10
2015-03-25,16.837999,16.837999,16.837999,16.837999,-19776746.000000,0
2015-03-26,17.871000,18.013000,17.763000,17.763000,-20863190.000000,1080
2015-03-27,17.756001,17.756001,17.403999,17.403999,-20441530.000000,842
2015-03-30,17.620001,17.823000,17.620001,17.671000,-20755132.000000,560
2015-03-31,17.660000,17.760000,17.506001,17.760000,-20859666.000000,3300
