,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
0,GOOG240628P00125000,2024-05-13 18:08:08+00:00,125.0,0.07,0.0,0.06,0.0,0.0,1.0,1.0,1.09375453125,False,REGULAR,USD,2024-06-28
1,GOOG240628P00130000,2024-06-20 16:39:58+00:00,130.0,0.02,0.0,0.04,0.0,0.0,1.0,4.0,0.945313046875,False,REGULAR,USD,2024-06-28
2,GOOG240628P00135000,2024-06-17 14:06:18+00:00,135.0,0.03,0.0,0.03,0.0,0.0,10.0,17.0,0.8203142968749999,False,REGULAR,USD,2024-06-28
3,GOOG240628P00140000,2024-06-20 18:33:16+00:00,140.0,0.02,0.0,0.02,0.0,0.0,5.0,68.0,0.70312796875,False,REGULAR,USD,2024-06-28
4,GOOG240628P00145000,2024-06-21 17:13:18+00:00,145.0,0.01,0.0,0.03,-0.03,-75.0,30.0,77.0,0.632816171875,False,REGULAR,USD,2024-06-28
5,GOOG240628P00150000,2024-06-21 16:37:33+00:00,150.0,0.02,0.01,0.02,-0.01,-33.333336,2.0,438.0,0.5468795312500001,False,REGULAR,USD,2024-06-28
6,GOOG240628P00155000,2024-06-21 17:54:57+00:00,155.0,0.02,0.01,0.04,-0.01,-33.333336,6.0,677.0,0.5117236328125,False,REGULAR,USD,2024-06-28
7,GOOG240628P00157500,2024-06-18 18:24:13+00:00,157.5,0.02,0.0,0.04,-0.030000001,-60.000004,2.0,21.0,0.46484910156250003,False,REGULAR,USD,2024-06-28
8,GOOG240628P00160000,2024-06-21 19:46:59+00:00,160.0,0.03,0.03,0.05,-0.020000001,-40.000004,235.0,819.0,0.42969320312500003,False,REGULAR,USD,2024-06-28
9,GOOG240628P00162500,2024-06-21 19:26:32+00:00,162.5,0.04,0.02,0.05,-0.050000004,-55.555557,23.0,81.0,0.38086556640624997,False,REGULAR,USD,2024-06-28
10,GOOG240628P00165000,2024-06-21 19:46:28+00:00,165.0,0.04,0.03,0.06,-0.050000004,-55.555557,251.0,1448.0,0.340826904296875,False,REGULAR,USD,2024-06-28
11,GOOG240628P00167500,2024-06-21 19:49:25+00:00,167.5,0.05,0.05,0.08,-0.11,-68.75,550.0,2634.0,0.304694453125,False,REGULAR,USD,2024-06-28
12,GOOG240628P00170000,2024-06-21 19:59:57+00:00,170.0,0.11,0.09,0.12,-0.14999999,-57.692307,1211.0,1545.0,0.273444765625,False,REGULAR,USD,2024-06-28
13,GOOG240628P00172500,2024-06-21 19:57:02+00:00,172.5,0.17,0.18,0.3,-0.33999997,-66.666664,1274.0,1030.0,0.2710033837890625,False,REGULAR,USD,2024-06-28
14,GOOG240628P00175000,2024-06-21 19:59:59+00:00,175.0,0.44,0.37,0.49,-0.59999996,-57.692307,5547.0,2254.0,0.24024197265624997,False,REGULAR,USD,2024-06-28
15,GOOG240628P00177500,2024-06-21 19:59:59+00:00,177.5,0.85,0.75,1.0,-1.12,-56.852795,3922.0,1305.0,0.22925575439453127,False,REGULAR,USD,2024-06-28
16,GOOG240628P00180000,2024-06-21 19:59:59+00:00,180.0,1.77,1.5,1.9,-1.55,-46.68675,7156.0,572.0,0.2199785034179687,False,REGULAR,USD,2024-06-28
17,GOOG240628P00182500,2024-06-21 19:59:32+00:00,182.5,3.3,3.05,3.5,-3.14,-48.757763,1284.0,29.0,0.23731231445312498,True,REGULAR,USD,2024-06-28
18,GOOG240628P00185000,2024-06-21 19:42:36+00:00,185.0,4.05,3.9,5.25,-3.6,-47.058823,142.0,53.0,0.2219316088867187,True,REGULAR,USD,2024-06-28
19,GOOG240628P00187500,2024-06-12 17:53:00+00:00,187.5,5.55,5.1,8.25,-3.5599995,-39.07793,9.0,0.0,0.37256486816406253,True,REGULAR,USD,2024-06-28
20,GOOG240628P00190000,2024-06-21 19:16:04+00:00,190.0,8.45,7.5,10.65,-2.25,-21.028038,16.0,13.0,0.4272518212890626,True,REGULAR,USD,2024-06-28
21,GOOG240628P00195000,2024-06-10 14:27:13+00:00,195.0,19.99,12.5,15.05,0.0,0.0,34.0,2.0,0.41602146484374997,True,REGULAR,USD,2024-06-28
22,GOOG240628P00197500,2024-06-14 19:54:40+00:00,197.5,19.65,15.0,18.05,0.0,0.0,,,0.594730615234375,True,REGULAR,USD,2024-06-28
23,GOOG240628P00215000,2024-05-29 18:32:59+00:00,215.0,37.12,32.5,35.55,0.0,0.0,1.0,0.0,0.9555668505859375,True,REGULAR,USD,2024-06-28
24,GOOG240628P00220000,2024-05-31 16:19:39+00:00,220.0,48.7,37.5,40.55,0.0,0.0,10.0,0.0,1.0468797656250002,True,REGULAR,USD,2024-06-28
25,GOOG240628P00225000,2024-05-23 19:54:42+00:00,225.0,50.07,42.5,45.55,0.0,0.0,,0.0,1.1342816723632816,True,REGULAR,USD,2024-06-28
0,GOOG240705P00120000,2024-05-24 17:59:45+00:00,120.0,0.01,0.0,0.25,0.0,0.0,2.0,0.0,0.9726565234375,False,REGULAR,USD,2024-07-05
1,GOOG240705P00135000,2024-06-21 18:26:56+00:00,135.0,0.01,0.0,0.52,-0.01,-50.0,14.0,2.0,0.805666005859375,False,REGULAR,USD,2024-07-05
2,GOOG240705P00140000,2024-06-05 18:14:59+00:00,140.0,0.06,0.0,0.05,0.0,0.0,1.0,19.0,0.5195360546875,False,REGULAR,USD,2024-07-05
3,GOOG240705P00145000,2024-06-07 17:26:03+00:00,145.0,0.08,0.0,1.84,0.0,0.0,1.0,30.0,0.8237322314453124,False,REGULAR,USD,2024-07-05
4,GOOG240705P00150000,2024-06-21 19:52:44+00:00,150.0,0.03,0.0,0.05,0.0,0.0,14.0,19.0,0.42578699218750005,False,REGULAR,USD,2024-07-05
5,GOOG240705P00155000,2024-06-20 17:16:41+00:00,155.0,0.04,0.02,0.08,-0.010000002,-20.000004,1.0,497.0,0.38281867187499996,False,REGULAR,USD,2024-07-05
6,GOOG240705P00160000,2024-06-21 18:31:37+00:00,160.0,0.05,0.03,0.08,-0.040000003,-44.444447,46.0,544.0,0.31250687499999996,False,REGULAR,USD,2024-07-05
7,GOOG240705P00165000,2024-06-21 18:47:39+00:00,165.0,0.08,0.08,0.71,-0.11,-57.894737,169.0,902.0,0.39014281738281253,False,REGULAR,USD,2024-07-05
8,GOOG240705P00170000,2024-06-21 19:58:51+00:00,170.0,0.24,0.24,0.3,-0.31,-56.363636,241.0,1359.0,0.2280350634765625,False,REGULAR,USD,2024-07-05
9,GOOG240705P00175000,2024-06-21 19:58:37+00:00,175.0,0.83,0.81,0.95,-0.75000006,-47.468357,4334.0,710.0,0.21216608154296873,False,REGULAR,USD,2024-07-05
10,GOOG240705P00180000,2024-06-21 19:57:56+00:00,180.0,2.53,1.88,2.72,-1.5699999,-38.292683,1235.0,73.0,0.21009090698242186,False,REGULAR,USD,2024-07-05
11,GOOG240705P00185000,2024-06-21 19:41:49+00:00,185.0,5.0,5.05,5.9,-2.75,-35.48387,40.0,42.0,0.21411918701171873,True,REGULAR,USD,2024-07-05
12,GOOG240705P00190000,2024-06-21 19:43:59+00:00,190.0,8.8,7.6,10.1,-3.2399998,-26.910295,5.0,1.0,0.21778125976562498,True,REGULAR,USD,2024-07-05
13,GOOG240705P00195000,2024-06-13 14:48:01+00:00,195.0,16.89,12.5,15.55,0.0,0.0,1.0,1.0,0.36426416992187505,True,REGULAR,USD,2024-07-05
14,GOOG240705P00200000,2024-06-12 14:04:14+00:00,200.0,20.11,17.5,20.55,0.0,0.0,,0.0,0.442388388671875,True,REGULAR,USD,2024-07-05
15,GOOG240705P00205000,2024-06-06 14:03:03+00:00,205.0,27.0,22.5,25.55,0.0,0.0,2.0,0.0,0.5153857055664062,True,REGULAR,USD,2024-07-05
0,GOOG240712P00130000,2024-06-07 19:52:25+00:00,130.0,0.05,0.0,0.04,0.0,0.0,1.0,1.0,0.51562984375,False,REGULAR,USD,2024-07-12
1,GOOG240712P00135000,2024-06-07 17:31:08+00:00,135.0,0.06,0.0,0.05,0.0,0.0,1.0,1.0,0.5136767382812499,False,REGULAR,USD,2024-07-12
2,GOOG240712P00140000,2024-06-18 14:27:43+00:00,140.0,0.05,0.01,0.06,0.0,0.0,1.0,3.0,0.46484910156250003,False,REGULAR,USD,2024-07-12
3,GOOG240712P00145000,2024-06-20 17:18:18+00:00,145.0,0.05,0.02,0.06,0.0,0.0,2.0,37.0,0.40820904296875,False,REGULAR,USD,2024-07-12
4,GOOG240712P00150000,2024-06-21 18:56:45+00:00,150.0,0.06,0.03,0.09,-0.02,-25.0,1.0,23.0,0.372076591796875,False,REGULAR,USD,2024-07-12
5,GOOG240712P00155000,2024-06-21 14:09:15+00:00,155.0,0.09,0.05,0.08,-0.019999996,-18.181814,1.0,297.0,0.3086006640625,False,REGULAR,USD,2024-07-12
6,GOOG240712P00160000,2024-06-21 19:41:25+00:00,160.0,0.12,0.1,0.14,-0.16,-57.142853,23.0,328.0,0.27637442382812494,False,REGULAR,USD,2024-07-12
7,GOOG240712P00165000,2024-06-21 17:59:42+00:00,165.0,0.24,0.25,0.4,-0.17999999,-42.857143,66.0,559.0,0.2700268310546875,False,REGULAR,USD,2024-07-12
8,GOOG240712P00170000,2024-06-21 19:49:18+00:00,170.0,0.51,0.5,1.6,-0.46000004,-47.422684,269.0,757.0,0.3178779150390625,False,REGULAR,USD,2024-07-12
9,GOOG240712P00175000,2024-06-21 19:59:59+00:00,175.0,1.45,1.32,1.5,-1.0,-40.816326,310.0,430.0,0.2124102197265625,False,REGULAR,USD,2024-07-12
10,GOOG240712P00180000,2024-06-21 19:50:00+00:00,180.0,2.93,3.0,5.2,-1.8799999,-39.085236,460.0,91.0,0.31690136230468746,False,REGULAR,USD,2024-07-12
11,GOOG240712P00185000,2024-06-21 19:43:36+00:00,185.0,5.29,5.9,7.2,-2.9499998,-35.80097,16.0,27.0,0.2600171655273438,True,REGULAR,USD,2024-07-12
12,GOOG240712P00190000,2024-06-12 16:43:43+00:00,190.0,8.93,9.8,10.35,-3.25,-26.683086,6.0,8.0,0.2048419360351562,True,REGULAR,USD,2024-07-12
13,GOOG240712P00195000,2024-06-17 14:12:54+00:00,195.0,17.89,12.5,15.6,0.0,0.0,6.0,6.0,0.2990792749023437,True,REGULAR,USD,2024-07-12
0,GOOG240719P00070000,2024-06-10 13:30:04+00:00,70.0,0.01,0.0,1.65,0.0,0.0,19.0,74.0,1.93359408203125,False,REGULAR,USD,2024-07-19
1,GOOG240719P00075000,2024-06-10 17:36:51+00:00,75.0,0.01,0.0,1.84,0.0,0.0,10.0,26.0,1.8422859448242184,False,REGULAR,USD,2024-07-19
2,GOOG240719P00080000,2024-06-11 14:12:01+00:00,80.0,0.01,0.0,0.51,0.0,0.0,20.0,141.0,1.3925811621093749,False,REGULAR,USD,2024-07-19
3,GOOG240719P00085000,2024-05-29 13:39:57+00:00,85.0,0.01,0.0,0.04,0.0,0.0,30.0,64.0,0.9687503125,False,REGULAR,USD,2024-07-19
4,GOOG240719P00090000,2024-05-20 18:31:46+00:00,90.0,0.02,0.0,0.09,0.0,0.0,2.0,167.0,0.9726565234375,False,REGULAR,USD,2024-07-19
5,GOOG240719P00095000,2024-06-10 13:53:30+00:00,95.0,0.01,0.0,1.65,0.0,0.0,3.0,44.0,1.365237548828125,False,REGULAR,USD,2024-07-19
6,GOOG240719P00100000,2024-06-18 19:32:03+00:00,100.0,0.02,0.01,0.4,0.0,0.0,5.0,358.0,1.0078174609375,False,REGULAR,USD,2024-07-19
7,GOOG240719P00105000,2024-06-17 13:45:03+00:00,105.0,0.01,0.01,0.05,0.0,0.0,3.0,670.0,0.7382838671874999,False,REGULAR,USD,2024-07-19
8,GOOG240719P00110000,2024-06-21 18:57:28+00:00,110.0,0.01,0.0,0.52,-0.02,-66.66667,3.0,561.0,0.8906260937499999,False,REGULAR,USD,2024-07-19
9,GOOG240719P00115000,2024-06-21 18:58:26+00:00,115.0,0.01,0.0,2.05,-0.04,-79.99999,2.0,875.0,1.0537156689453124,False,REGULAR,USD,2024-07-19
10,GOOG240719P00120000,2024-06-21 18:57:45+00:00,120.0,0.03,0.01,0.03,0.02,200.0,1.0,2377.0,0.5468795312500001,False,REGULAR,USD,2024-07-19
11,GOOG240719P00125000,2024-06-18 13:57:41+00:00,125.0,0.04,0.0,0.03,0.0,0.0,100.0,2499.0,0.51562984375,False,REGULAR,USD,2024-07-19
